EmployeeID,Age,Gender,MaritalStatus,Education,Department,JobRole,HireDate,Salary,SalaryHistory,PerformanceRating,WorkLifeBalance,JobSatisfaction,DistanceFromHome,Overtime,NumCompaniesWorked,YearsSincePromotion,LastPromotionDate,TrainingHoursLastYear,ManagerID,EmployeeStatus,Attrition
EMP_0876,49.0,Female,Married,Bachelor,Marketting,Digital Marketer,Invalid Date,74394.0,64517,,3.0,3,2,No,1,9.544226658716644,2022-06-02,20,MGR_149,Terminated,1
EMP_1210,48.0,MALE,D,Bachelor,Sales,Sales Representative,03/18/2018,52980.0,,2.0,4.0,2,1,No,1,0.6864766335730867,2023-03-12,0,,Active,0
EMP_0375,52.0,M,Single,Masters,HR,HR Specialist,07/01/2017,45090.0,39422,4.0,2.0,4,12,Yes,0,1.1515201711199525,2021-01-04,60,,Active,0
EMP_0330,40.0,M,Single,Bachelor,Sales,Sales Manager,08-08-2011,81139.0,,3.0,3.0,4,28,No,1,0.17083916346232475,2018-03-06,24,,Resigned,1
EMP_0562,51.0,MALE,Single,Bachelors,Engineering,Engineering Manager,2010-12-26,114437.0,"91599,101247,107727",3.0,3.0,1,2,No,2,0.8606111693371129,,15,MGR_159,Active,0
EMP_0347,23.0,M,Married,Bachelors,Finance,Finance Manager,18-04-2015,74832.0,70276,4.0,4.0,Low,1,No,2,1.003389042215463,2023-07-18,9,MGR_184,Active,0
EMP_1671,33.0,female,Married,Bachelor,R&D,Research Scientist,2020/15/30,90208.0,"67828,73894,84308",4.0,3.0,5,18,No,0,0.39817079425109275,2018-09-14,24,MGR_152,Active,0
EMP_1020,38.0,male,single,High School,HR,Recruiter,18-07-2017,60400.0,"48278,51833",4.0,3.0,3,1,No,3,1.355566290619849,2024-06-20,2,MGR_016,Active,0
EMP_0204,43.0,M,married,Master,Customer Support,Support Specialist,02/01/2021,48642.0,"37486,43839,46152",3.0,3.0,4,1,No,2,0.7055692286331703,2019-04-28,47,MGR_020,Active,0
EMP_0225,31.0,Female,Married,Bachelors,Finance,Financial Analyst,"August 23, 2017",57809.0,,4.0,4.0,1,6,Yes,2,0.6544261840071083,2021-11-25,12,MGR_197,Laid Off,1
EMP_0392,38.0,M,D,High School,Marketing,Marketing Analyst,"March 09, 2015",70517.0,"39530,45955,53855,61509",4.0,4.0,3,45,Yes,2,0.2960431778096413,2015-10-07,6,MGR_092,Active,0
EMP_1706,33.0,Male,Married,Master,Finance,Accountant,13-09-2023,43211.0,"30478,34977,39241",1.0,3.0,Medium,10,No,2,,2022-02-05,64,MGR_152,Active,0
EMP_1085,,F,Married,High School,HR,HR Generalist,2020-09-12,53589.0,"43575,48076",4.0,3.0,nan,17,Yes,1,4.36005264888471,2025-03-08,12,MGR_017,Active,0
EMP_0184,38.0,M,single,BS,Human Resources,Recruiter,"September 18, 2010",65055.0,56093,5.0,4.0,2,24,No,0,1.6447712677902875,2023-06-11,12,MGR_089,Active,0
EMP_1797,32.0,female,M,BA,R&D,Product Developer,"June 03, 2018",99586.0,,5.0,4.0,3,20,Yes,3,3.9095212473247987,2020-04-13,21,MGR_017,Active,0
EMP_1254,37.0,Female,single,BA,Human Resources,HR Specialist,"January 07, 2020",53530.0,47491,4.0,4.0,5,28,No,0,1.8704312522896938,2023-08-02,57,MGR_030,Terminated,1
EMP_0412,26.0,M,single,Bachelor,Sales,Account Manager,01/05/2023,62080.0,,2.0,3.0,4,27,No,3,0.9391874165938412,2017-12-18,1,MGR_022,Active,0
EMP_1293,,Male,Married,Bachelor,Finance,Finance Manager,2018-02-03,85095.0,"64991,69013,79609",3.0,4.0,2,22,Yes,5,0.02703662177276141,2022-12-19,21,MGR_177,Active,0
EMP_1232,24.0,Male,Single,Bachelor,HR,HR Specialist,2018-02-15,50774.0,"32094,37583,43575",3.0,4.0,4,13,No,1,0.5423605148141697,2015-12-06,56,MGR_074,Active,0
EMP_0841,34.0,female,Married,Masters,Human Resources,HR Manager,11/14/2013,71453.0,"42380,48638,53644,60970",3.0,4.0,nan,2,No,4,0.3333371398225741,2020-05-06,21,MGR_120,Terminated,1
EMP_0380,28.0,Male,Married,Bachelors,Sales,Sales Manager,"July 05, 2016",93613.0,"79604,85186",2.0,4.0,4,30,No,1,3.1230640716346696,2024-08-18,15,MGR_127,Resigned,1
EMP_0896,40.0,M,Divorced,Bachelor,Operations,Ops Analyst,03-02-2014,62518.0,,4.0,3.0,4,14,No,4,0.6983890382013168,2021-03-12,17,MGR_046,Active,0
EMP_1801,50.0,F,Married,Bachelors,Finance,Accountant,"January 03, 2016",63864.0,57456,4.0,2.0,3,15,No,1,3.7823128714669965,2020-06-25,74,MGR_029,Resigned,1
EMP_0147,25.0,M,Divorced,High School,Marketting,Marketing Specialist,2015-11-21,65885.0,"47264,52240,59685",3.0,3.0,5,8,No,3,0.0929758401252338,2016-06-13,12,MGR_124,Active,0
EMP_0716,43.0,F,Married,High School,Operations,Process Specialist,"December 31, 2014",75065.0,68400,4.0,4.0,High,7,No,1,1.1455164827263522,2025-02-01,4,MGR_186,Active,0
EMP_9061,27.0,Male,Married,Masters,Sales,Sr. Sales Rep,,77013.0,68628,1.0,1.0,5,10,Y,2,0.4244757740576667,2019-03-17,3,MGR_160,Active,0
EMP_1725,27.0,MALE,Married,Bachelors,Engineering,Senior Engineer,04-11-2019,117278.0,"76584,88025,93655,107302",4.0,3.0,1,11,No,2,0.8521625105644253,2023-07-31,15,,Terminated,1
EMP_1957,18.0,F,Divorced,High School,Operations,Process Specialist,23-05-2015,67299.0,63690,3.0,3.0,4,23,No,2,0.864328966138509,2020-12-13,7,MGR_010,Active,0
EMP_0897,33.0,M,Divorced,PhD,Engineering,Senior Engineer,"June 12, 2015",127793.0,"104399,113334,119378",3.0,3.0,3,9,No,2,0.5298529239700618,2024-09-05,25,MGR_164,Active,0
EMP_0675,23.0,M,Single,PhD,Engineering,Jr. Software Engineer,"May 26, 2017",68939.0,"49401,52563,59609",3.0,1.0,3,11,No,2,0.0716610172139761,,2,MGR_073,Resigned,1
EMP_0812,,female,Single,Bachelors,Marketing,Marketing Analyst,06-05-2023,61075.0,57282,3.0,2.0,3,5,nan,1,0.017514890272529657,2020-10-09,8,MGR_069,Active,0
EMP_0111,19.0,Female,married,Bachelors,Marketing,Marketing Manager,2023-01-21,92535.0,"81661,86919",4.0,2.0,3,Close,No,4,2.7828611322162344,2022-11-03,4,MGR_016,Active,0
EMP_1569,22.0,Male,Married,Master,Sales,Sr. Sales Rep,2020-11-01,350000.0,,3.0,3.0,3,34,No,1,0.7558394976588303,,14,MGR_145,Active,0
EMP_0624,45.0,F,single,Bachelor,Sales,Sales Rep,09/10/2017,,,5.0,3.0,4,36,No,6,0.847797372497463,2018-08-08,5,MGR_107,Active,0
EMP_0623,50.0,Male,Married,Bachelors,Marketing,Marketing Analyst,2020/15/30,67982.0,"54024,62378",4.0,2.0,3,15,1,2,2.4577051135758046,2016-01-01,16,MGR_161,Laid Off,1
EMP_1067,24.0,Female,Single,nan,Sales,Sr. Sales Rep,2016-06-25,63139.0,"50808,54281,57187",3.0,3.0,4,1,No,0,2.9899497849141285,2017-08-25,28,,Active,0
EMP_0642,48.0,male,married,BA,Customer Support,Customer Rep,09/15/2015,38987.0,"30664,34805",2.0,4.0,4,1,0,3,1.0273145483936652,2024-03-16,36,MGR_085,Active,0
EMP_1678,47.0,Male,Married,High School,Marketing,Marketing Analyst,"October 01, 2014",55329.0,48631,3.0,4.0,5,7,Yes,3,0.7641157535536716,2022-02-14,19,MGR_175,Active,0
EMP_1609,37.0,female,Married,BA,Operations,Operations Manager,"August 01, 2018",96964.0,"82247,90375",1.0,4.0,2,4,No,3,1.8939226795956507,2024-04-17,1,MGR_016,Active,0
EMP_0804,31.0,F,D,MS,Engineering,Senior Engineer,02/19/2024,114869.0,104026,3.0,4.0,4,1,Yes,3,0.22986284608278154,2021-05-21,29,MGR_148,Active,0
EMP_1925,51.0,Female,married,Bachelor,HR,HR Generalist,"May 27, 2022",54640.0,"34600,37421,44022,48177",1.0,2.0,3,17,No,4,0.3468236815928282,2021-12-23,14,MGR_037,Terminated,1
EMP_0733,38.0,male,married,Bachelor,Customer Support,Support Specialist,06-01-2020,49115.0,"39599,42815,45792",5.0,4.0,5,16,Yes,0,0.04109187315952477,2018-09-25,48,MGR_009,Active,0
EMP_1768,33.0,M,single,MA,Sales,Sales Manager,16-07-2024,95294.0,"79807,86256",3.0,3.0,3,21,No,2,1.583383271275001,2024-05-20,3,MGR_065,Active,0
EMP_0263,18.0,M,Married,Bachelor,HR,HR Generalist,"February 21, 2010",35848.0,"27078,28742,30627",4.0,2.0,Medium,22,No,0,1.3402877687514345,,33,MGR_189,Resigned,1
EMP_0517,39.0,female,Single,Bachelors,Sales,Sales Representative,11-10-2015,37199.0,,2.0,1.0,3,50,Yes,4,0.09488628239404248,2024-08-18,1,MGR_130,Active,0
EMP_0919,31.0,Female,married,Bachelors,IT,Software Engineer,21-05-2012,105867.0,"82373,93507",3.0,4.0,4,8,Yes,1,0.12371800451289575,2016-07-26,18,,Active,0
EMP_0636,21.0,M,Married,Masters,Customer Support,Support Specialist,08/29/2023,,,3.0,3.0,3,7,Yes,4,0.3507443954970882,,88,MGR_004,Active,0
EMP_9055,34.0,Male,married,Bachelors,Marketing,Marketing Analyst,08-01-2020,56559.0,,3.0,2.0,4,22,No,2,1.6366325267564492,2022-01-18,38,MGR_137,Active,0
EMP_1885,34.0,Female,married,Bachelors,Finance,Finance Manager,2023-13-45,108425.0,93813,3.0,2.0,1,6,Yes,3,0.02286990831878598,2019-04-25,18,MGR_097,Active,0
EMP_0116,37.0,female,Single,Bachelors,Marketing,Marketing Specialist,07/17/2014,62411.0,58084,3.0,5.0,Medium,1,No,1,0.9768817898679336,2016-10-25,10,MGR_043,Terminated,1
EMP_0714,38.0,Male,M,Bachelor,Operations,Process Specialist,29-03-2017,55889.0,,3.0,5.0,3,7,No,2,0.6082872648333061,2022-07-12,16,MGR_050,Active,0
EMP_1961,34.0,male,D,Bachelors,Operations,Operations Analyst,26-07-2015,65409.0,"43722,48694,56380,60267",3.0,1.0,High,27,No,2,1.503197926181134,2023-06-10,37,,Terminated,1
EMP_1826,,Male,Divorced,BS,Engineering,Software Engineer,2015-05-01,121970.0,111956,2.0,4.0,Low,31,No,2,3.5145934736129925,2016-07-15,26,MGR_154,Active,0
EMP_1362,39.0,Male,single,Masters,Sales,Account Manager,08/31/2021,80618.0,"57635,62256,69375,76235",4.0,4.0,2,Near,FALSE,3,2.8850810252512034,2021-04-17,22,,Active,0
EMP_0272,23.0,Female,Single,BA,Customer Service,CS Manager,,53691.0,"45569,48315",3.0,2.0,3,27,Yes,2,4.105389876633679,,6,MGR_180,Active,0
EMP_0564,32.0,M,Single,Masters,Operations,Operations Manager,18-07-2013,71420.0,"48631,52260,58769,67539",4.0,5.0,1,9,Yes,1,0.34126419423371485,2023-01-20,36,MGR_161,Resigned,1
EMP_0662,30.0,M,Single,Bachelor,Sales,Sales Representative,2018-08-31,53105.0,"32343,35607,40191,45966",4.0,1.0,1,5,N,2,3.83762343385928,2019-08-17,7,MGR_177,Active,0
EMP_0483,22.0,Male,Single,Bachelors,IT,IT Specialist,01-12-2012,78767.0,69278,2.0,5.0,4,6,Yes,1,1.9788026461673007,2019-12-19,5,MGR_023,Active,0
EMP_1398,27.0,Male,Married,Masters,Finance,Accountant,12-05-2011,47872.0,,5.0,4.0,4,1,Yes,2,1.5777206497737915,2018-05-18,9,MGR_121,Active,0
EMP_1834,37.0,Female,Divorced,Bachelor,R&D,R&D Manager,"October 27, 2012",150884.0,,5.0,2.0,4,1,Yes,3,2.2481082014251603,,5,MGR_137,Active,0
EMP_0594,37.0,Male,Married,Masters,Marketing,Digital Marketer,Invalid Date,50259.0,"32244,37481,40633,47492",3.0,3.0,4,4,No,2,2.4098222774699423,2016-07-26,20,,Terminated,1
EMP_1395,32.0,Male,married,Bachelor,Marketing,Marketing Analyst,05/05/2022,,,4.0,2.0,4,1,Yes,2,4.3613727771811295,2016-08-09,20,MGR_183,Resigned,1
EMP_0442,34.0,Female,Married,Bachelor,Sales,Sales Representative,2012-03-16,45916.0,43484,4.0,5.0,2,22,Yes,1,4.507846972292927,2023-03-28,17,MGR_023,Active,0
EMP_1591,26.0,F,Single,BA,Sales,Account Manager,2018-12-10,75247.0,71419,3.0,4.0,1,,No,3,0.7924064120186879,2020-06-27,6,MGR_130,Active,0
EMP_0892,39.0,female,Single,MS,Operations,Operations Manager,01/10/2013,96011.0,,1.0,3.0,Medium,6,TRUE,3,2.2469499088260685,2017-09-17,47,MGR_187,Active,0
EMP_1606,27.0,Male,single,Master,Sales,Sr. Sales Rep,10/26/2021,80674.0,"57322,63284,73488",4.0,2.0,5,4,No,1,0.05166671250154506,2024-05-08,30,MGR_022,Active,0
EMP_1744,44.0,MALE,Divorced,MS,Marketting,Marketing Specialist,10-12-2023,48484.0,"32121,36870,42228",3.0,4.0,3,2,Yes,2,0.048226635452378666,,17,MGR_198,Active,0
EMP_1546,38.0,Male,Single,Master,Operations,Process Specialist,"September 04, 2021",50900.0,45734,4.0,5.0,2,22,Yes,0,4.016355448682577,2021-06-10,8,MGR_197,Active,0
EMP_1431,37.0,Female,Single,Bachelors,R&D,R&D Manager,"April 24, 2019",139384.0,"103572,121278,131630",3.0,4.0,3,16,Yes,1,0.6988316912730173,2019-09-15,37,MGR_018,Terminated,1
EMP_1066,26.0,male,married,MS,Engineering,Software Engineer,2011-03-27,92331.0,,2.0,3.0,4,3,No,5,4.567739770590999,,4,MGR_003,Active,0
EMP_0573,37.0,female,D,High School,Customer Service,Support Specialist,2015-02-20,38100.0,33809,5.0,3.0,3,13,Yes,1,1.0433338705508461,2015-10-30,39,MGR_178,Active,0
EMP_1923,26.0,MALE,Divorced,High School,Finance,Financial Analyst,2012-10-03,50025.0,,3.0,5.0,5,3,No,3,5.731232337198777,2024-11-30,1,MGR_153,Active,0
EMP_0298,37.0,F,Married,Master,Enginnering,Software Engineer,24-05-2024,83089.0,"54155,63056,68909,78343",2.0,3.0,3,1,No,4,2.403230838624706,2016-06-28,33,MGR_159,Active,0
EMP_1283,40.0,Male,single,Master,Engineering,Jr. Software Engineer,2013-10-14,72042.0,,1.0,1.0,4,21,No,3,2.435662273783477,,2,MGR_183,Active,0
EMP_0081,33.0,M,married,Bachelors,Customer Service,Customer Rep,2010-07-04,52845.0,"36838,41547,45077",3.0,4.0,2,11,No,0,9.74816109432439,2025-05-08,26,MGR_098,Terminated,1
EMP_0902,31.0,female,single,BA,Sales,Account Manager,02-01-2021,67435.0,"47972,56121,62329",5.0,2.0,4,6,Yes,0,0.014875512072388342,2022-07-14,54,MGR_178,Active,0
EMP_0135,27.0,male,Married,Bachelors,Customer Service,Support Specialist,14-02-2018,53401.0,"45051,47469,50596",5.0,2.0,5,18,No,3,,2023-09-03,8,MGR_033,Terminated,1
EMP_9514,,Female,married,BS,Operations,Operations Analyst,2015-08-01,44883.0,39257,4.0,3.0,Very High,6,No,3,0.1364390988363319,2020-06-10,20,MGR_042,Resigned,1
EMP_1413,38.0,Female,Married,Bachelor,Operations,Operations Analyst,10/01/2021,44053.0,"36383,39146",2.0,2.0,3,6,No,0,1.5566248569325651,2018-11-09,2,MGR_096,Active,0
EMP_1775,29.0,male,M,Masters,HR,HR Specialist,"July 08, 2019",46894.0,"34708,39376,42235",2.0,2.0,1,15,No,0,0.31660437249790874,2021-01-07,30,,Terminated,1
EMP_1041,48.0,M,married,BS,Engineering,Software Engineer,10/24/2010,86673.0,"64924,72217,81519",3.0,2.0,3,15,No,2,,2025-02-02,18,MGR_007,Active,0
EMP_0814,36.0,Female,Single,Master,sales,Account Manager,"March 11, 2021",84436.0,,5.0,4.0,2,8,No,4,8.380906778223977,2024-03-14,10,MGR_062,Resigned,1
EMP_1151,27.0,F,Married,Bachelor,sales,Account Manager,26-01-2010,101618.0,"67299,73627,82119,91534",4.0,1.0,3,2,No,5,1.1673675786238022,2023-09-29,26,,Active,0
EMP_0030,32.0,F,married,Bachelor,Operations,Ops Analyst,"December 27, 2019",56401.0,"32399,37773,42267,48989",4.0,2.0,3,3,Yes,5,7.489529135487345,2015-10-03,31,MGR_087,Active,0
EMP_0542,25.0,Male,Married,BA,Customer Service,Support Specialist,09/07/2024,32501.0,,3.0,3.0,4,17,nan,3,5.173410049626981,2020-10-06,4,MGR_121,Active,0
EMP_1456,20.0,male,single,High School,Operations,Operations Analyst,"July 31, 2017",52380.0,44699,3.0,5.0,4,11,No,3,0.4299015070333205,,39,MGR_051,Active,0
EMP_1258,38.0,male,D,Bachelors,Customer Service,Customer Rep,01/29/2024,28196.0,"23797,26205",2.0,2.0,High,12,No,3,0.1390098308914437,2018-01-22,3,MGR_188,Active,0
EMP_1772,48.0,Male,Divorced,Bachelor,Marketing,Marketing Manager,01/12/2018,94047.0,"76130,84040",2.0,2.0,3,25,No,4,0.7010913124331734,2017-05-24,59,MGR_113,Terminated,1
EMP_0249,,F,Divorced,High school,Marketing,Digital Marketer,08-06-2019,44220.0,,4.0,3.0,Medium,13,Yes,2,,2023-05-05,31,MGR_038,Active,0
EMP_1272,39.0,F,M,BA,Human Resources,HR Manager,"August 16, 2011",84498.0,"70856,78468",2.0,4.0,4,17,No,3,3.7798230761458615,2022-05-07,72,MGR_177,Active,0
EMP_0494,28.0,F,S,Bachelor,Engineering,Engineering Manager,2021-03-24,162616.0,153446,4.0,5.0,3,Near,TRUE,1,,2016-06-23,4,MGR_190,Terminated,1
EMP_0708,49.0,Male,Single,High School,Engineering,Engineering Manager,03/01/2018,121061.0,112878,2.0,3.0,3,13,Yes,2,,2022-01-14,9,MGR_005,Active,0
EMP_1930,50.0,F,single,Bachelor,Operations,Process Specialist,2015-07-17,63401.0,,2.0,2.0,5,1,N,2,1.0143640299777672,2025-02-09,42,MGR_057,Active,0
EMP_0402,30.0,M,married,High School,Customer Service,CS Manager,08/21/2017,55493.0,"38581,42476,47754",4.0,3.0,Medium,1,No,0,1.0026190879625212,2024-12-17,12,MGR_173,Resigned,1
EMP_1144,36.0,Female,D,High School,Sales,Sales Rep,2019-04-08,33046.0,"24042,26459,27893,30255",3.0,3.0,High,17,No,0,2.7477645833956874,2016-04-17,8,,Active,0
EMP_1669,41.0,M,Single,High School,Engineering,Senior Engineer,2011-04-07,129318.0,"90826,96561,102171,116077",3.0,4.0,4,4,0,2,5.15002982758098,2017-10-21,50,MGR_069,Active,0
EMP_1090,33.0,F,S,Bachelor,Finance,Accountant,32-12-2021,58365.0,"39520,43513,47680,55113",3.0,4.0,High,1,No,0,1.2351568338221037,2020-08-12,10,MGR_139,Active,0
EMP_0023,35.0,Male,Single,Bachelors,HR,Recruiter,25-08-2017,64389.0,"48253,53661,57598",6.0,4.0,4,25,No,1,-0.4465308918227793,2020-07-12,29,MGR_181,Terminated,1
EMP_1773,30.0,MALE,married,Bachelors,sales,Account Manager,04/29/2011,71433.0,,3.0,3.0,5,14,Yes,1,1.6610530457470696,2016-01-14,22,MGR_177,Active,0
EMP_0161,27.0,female,married,Master,Marketing,Marketing Manager,19-12-2022,88317.0,,3.0,4.0,3,23,No,2,0.0020094913499362718,2022-09-10,10,MGR_194,Active,0
EMP_1143,33.0,Female,Married,Bachelors,Engineering,Software Engineer,"March 03, 2015",112070.0,"93154,102492",4.0,2.0,2,1,No,2,,2024-06-11,26,MGR_038,Active,0
EMP_0766,29.0,Female,single,Bachelor,Operations,Ops Analyst,2018-03-15,52799.0,"41417,46244,50150",1.0,3.0,4,5,No,2,,2023-08-25,12,MGR_070,Resigned,1
EMP_0634,31.0,Female,married,Bachelor,Sales,Account Manager,"June 15, 2017",78590.0,"58206,66833,71212",3.0,4.0,4,Very Far,No,2,6.447326473702351,2019-12-08,16,,Active,0
EMP_1604,28.0,M,Married,Masters,Customer Support,CS Manager,06/03/2018,76208.0,,4.0,5.0,3,1,Yes,2,1.0080430831269278,2016-12-12,107,MGR_149,Laid Off,1
EMP_1208,29.0,Male,Single,Bachelor,Engineering,Jr. Software Engineer,,67362.0,,3.0,3.0,4,19,No,1,2.1344043595473607,2021-08-13,13,MGR_101,Resigned,1
EMP_1286,24.0,Male,married,Master,Sales,Account Manager,"August 07, 2014",84163.0,"58780,62482,68589,79118",3.0,4.0,4,2,No,3,1.3483766249327473,2019-01-08,3,MGR_174,Resigned,1
EMP_1043,43.0,M,Single,High School,Operations,Operations Analyst,"May 11, 2011",60744.0,,3.0,4.0,Medium,4,0,0,5.619913695782824,2022-05-28,5,MGR_174,Active,0
EMP_1788,28.0,Female,married,Master,HR,HR Manager,"June 09, 2018",77334.0,,3.0,3.0,3,20,No,0,2.755764363199283,2020-01-26,26,MGR_180,Terminated,1
EMP_0365,40.0,Female,married,Master,Sales,Sales Rep,05/13/2022,39181.0,"32119,35449",4.0,4.0,2,28,No,1,0.060541916596925094,2015-11-09,2,MGR_095,Active,0
EMP_0747,36.0,Female,married,Bachelor,Marketting,Marketing Specialist,2013-12-22,41153.0,"29533,32819,35140,37348",3.0,4.0,3,3,No,1,0.6212024993552668,2020-02-18,15,MGR_147,Active,0
EMP_1307,35.0,female,Divorced,Masters,Finance,Senior Analyst,11/22/2020,73416.0,"50347,57995,62101,68798",4.0,5.0,2,,TRUE,0,2.1063185671176576,2021-12-14,12,MGR_056,Active,0
EMP_0635,26.0,male,married,Bachelors,Finance,Finance Manager,10/29/2018,98206.0,"74361,81139,90293",4.0,3.0,3,6,No,3,1.25300303745949,2020-02-24,36,MGR_057,Active,0
EMP_0845,,F,married,PhD,Customer Service,Customer Rep,08/16/2010,42187.0,"31812,35977,38181",4.0,5.0,4,,Yes,2,,2016-09-29,12,MGR_127,Active,0
EMP_1008,40.0,F,single,Bachelor,Finance,Accountant,32-12-2021,65429.0,"46212,53855,57287,61559",2.0,3.0,5,35,N,2,6.502258147686753,2021-07-22,6,,Active,0
EMP_1004,29.0,Male,Married,BS,R&D,R&D Manager,"February 19, 2019",149037.0,,4.0,3.0,4,10,No,3,0.8637502451905591,2022-02-21,3,,Active,0
EMP_1683,27.0,male,Married,Masters,Sales,Sales Manager,2016-09-13,58693.0,"37438,43507,47996,55103",6.0,0.0,4,50,Yes,1,0.7145697653349539,2017-03-27,14,MGR_085,Active,0
EMP_1304,28.0,male,Single,Master,HR,HR Generalist,2021-11-17,,,,3.0,Medium,1,Yes,3,6.218305155774932,2016-11-04,87,MGR_081,Active,0
EMP_1518,40.0,M,S,Master,sales,Account Manager,"October 20, 2024",66864.0,"56059,59081",4.0,2.0,4,14,No,2,0.5079448115904122,2019-04-15,8,MGR_168,Active,0
EMP_0048,43.0,Female,Divorced,High School,Engineering ,Software Engineer,"November 04, 2015",93829.0,81907,3.0,3.0,3,4,Yes,3,0.4605269604991148,2024-07-13,12,MGR_039,Resigned,1
EMP_0094,32.0,female,Married,nan,Finance,Accountant,2021-09-04,55875.0,,3.0,5.0,4,8,No,2,4.429641296052457,2024-03-08,7,MGR_017,Terminated,1
EMP_0712,,female,married,Bachelors,Operations,Ops Analyst,"December 23, 2021",62633.0,"44394,48198,53428",3.0,1.0,3,2,Yes,2,10.276849164710818,2019-05-10,14,MGR_136,Active,0
EMP_1575,38.0,Female,married,High School,Customer Support,Customer Rep,03/23/2024,,,4.0,5.0,3,40,No,1,7.929816895587545,,29,MGR_083,Terminated,1
