EmployeeID,Department,Tenure,ManagerRating,WorkLifeBalance,GrowthOpportunities,SalarySatisfaction,OverallSatisfaction,WillStayNextYear
158,HR,10.6,4.0,2.0,5.0,2.0,3,1
159,Sales,8.8,,,,,3,1
160,Operations,1.9,4.0,4.0,2.0,2.0,3,0
161,Tech,9.4,5.0,2.0,4.0,3.0,4,0
162,Sales,14.9,3.0,2.0,2.0,5.0,4,0
163,Operations,2.5,2.0,3.0,5.0,5.0,4,1
164,Operations,8.0,3.0,4.0,2.0,4.0,3,1
165,HR,13.2,2.0,4.0,3.0,5.0,4,0
166,Sales,11.2,4.0,2.0,3.0,3.0,3,0
167,Operations,10.6,2.0,2.0,3.0,5.0,2,0
168,Tech,10.7,5.0,3.0,3.0,4.0,3,1
169,Tech,5.7,5.0,3.0,4.0,2.0,4,0
170,HR,4.8,2.0,4.0,5.0,3.0,3,0
171,Operations,12.2,,,,,3,0
172,Sales,12.2,2.0,4.0,2.0,4.0,3,1
173,Tech,13.1,2.0,2.0,3.0,4.0,3,1
174,Operations,13.7,5.0,4.0,3.0,4.0,5,1
175,Operations,7.9,,,,,3,0
176,HR,7.8,2.0,3.0,5.0,2.0,3,1
177,Tech,12.1,2.0,5.0,4.0,2.0,2,1
178,Tech,9.9,5.0,5.0,2.0,2.0,3,0
179,Sales,10.7,5.0,5.0,1.0,4.0,3,1
180,Tech,12.0,4.0,3.0,1.0,4.0,3,1
181,Sales,13.4,2.0,5.0,2.0,3.0,3,0
182,Tech,5.4,4.0,5.0,4.0,3.0,4,1
183,HR,5.9,5.0,5.0,1.0,2.0,3,1
184,Tech,1.9,5.0,2.0,1.0,5.0,4,1
185,Sales,8.9,3.0,5.0,5.0,5.0,4,0
186,Sales,1.0,2.0,3.0,4.0,4.0,3,0
187,HR,7.3,4.0,5.0,1.0,4.0,4,1
188,Tech,8.4,5.0,5.0,4.0,4.0,4,1
189,Tech,4.7,5.0,3.0,2.0,3.0,3,1
190,HR,9.1,4.0,5.0,3.0,3.0,5,1
191,Tech,0.9,3.0,3.0,1.0,4.0,3,1
192,Tech,1.0,5.0,5.0,5.0,4.0,5,1
193,Sales,12.4,2.0,3.0,2.0,4.0,3,0
194,Tech,5.7,5.0,5.0,4.0,5.0,5,1
195,Tech,2.3,2.0,5.0,2.0,3.0,3,1
196,HR,50.0,4.0,2.0,1.0,5.0,4,1
197,HR,11.7,2.0,2.0,4.0,5.0,4,1
198,Operations,3.6,4.0,5.0,3.0,4.0,4,1
199,Sales,9.5,2.0,5.0,2.0,4.0,3,0
200,Tech,1.7,4.0,4.0,1.0,2.0,3,0
96,HR,5.6,,,,,4,1
16,Sales,13.1,,,,,4,1
