employee_id,department,hire_date,tenure_months,salary,performance_rating,remote_status
1027,Engineering,2021-01-20,23.35742444152431,88581.34493001443,5,Hybrid
1028,Engineering,2021-02-25,22.174770039421812,57223.6362971163,4,Onsite
1029,Engineering,2022-05-27,7.194480946123521,76027.28725641475,3,Remote
1030,Engineering,2021-03-10,21.747700394218132,83901.80415596864,3,Hybrid
1031,Engineering,2021-02-22,22.273324572930353,83375.82908269834,4,Hybrid
1032,Engineering,2021-01-18,23.423127463863338,69469.09069654357,4,Hybrid
1033,Engineering,2021-09-17,15.473061760840999,71753.1876273763,5,Remote
1034,Engineering,2020-04-25,32.22733245729303,80995.215238245,4,Remote
1035,Engineering,2021-11-13,13.600525624178712,72970.8607917798,4,Remote
1036,Engineering,2020-12-03,24.93429697766097,96602.34221772531,4,Hybrid
1037,Engineering,2022-02-26,10.151116951379763,90738.99549030162,4,Onsite
1038,Engineering,2020-03-26,33.21287779237845,66250.38772205346,5,Hybrid
1039,Engineering,2021-08-26,16.1957950065703,80613.42422876858,3,Hybrid
1040,Engineering,2020-04-22,32.32588699080158,90231.92419737067,5,Hybrid
1041,Engineering,2021-08-01,17.017082785808146,65187.9237402794,4,Hybrid
1042,Engineering,2021-12-30,12.056504599211562,86689.68708504342,4,Remote
1043,Engineering,2022-03-15,9.592641261498029,93356.84537930484,4,Onsite
1044,Engineering,2020-02-20,34.36268068331143,53802.05632212453,5,Onsite
1045,Sales,2021-09-06,15.83442838370565,74660.67737843978,5,Hybrid
1046,Sales,2022-11-24,1.2483574244415243,87348.15873492652,5,Onsite
1047,Sales,2022-10-10,2.726675427069645,56903.53270705491,4,Hybrid
1048,Sales,2021-04-25,20.2365308804205,85685.96679742352,4,Onsite
1049,Sales,2022-07-03,5.978975032851511,99704.90785988193,3,Remote
1050,Sales,2021-12-30,12.056504599211562,29684.14659791436,5,Remote
1051,Sales,2020-09-23,27.266754270696453,60828.33502481029,4,Remote
1052,Sales,2021-10-28,14.126149802890932,79147.77782933379,4,Hybrid
1053,Sales,2020-01-22,35.31537450722733,44578.07931321543,4,Onsite
1054,Sales,2021-05-19,19.44809461235217,77026.36198995028,4,Hybrid
1055,Sales,2022-02-22,10.282522996057818,85283.74873554036,4,Onsite
1056,Sales,2020-02-17,34.46123521681997,58430.7656090081,3,Hybrid
1057,Sales,2022-11-16,1.5111695137976346,87533.7000121961,5,Hybrid
1058,Sales,2021-07-03,17.969776609724047,71014.0141667751,5,Onsite
1059,Sales,2020-03-15,33.5742444152431,83981.11226921607,3,Hybrid
1060,Sales,2020-05-19,31.438896189224703,66178.27571899469,3,Hybrid
1061,Sales,2021-05-16,19.54664914586071,85721.98191485209,4,Hybrid
1062,Sales,2021-03-17,21.517739816031536,73749.13077669,5,Hybrid
1063,Sales,2022-04-01,9.034165571616294,55731.44553254065,4,Remote
1064,Sales,2020-11-04,25.88699080157687,49604.49083864022,4,Remote
1065,Sales,2020-06-13,30.617608409986858,65218.60170633606,4,Hybrid
1066,Sales,2022-01-16,11.498028909329829,70396.35578169656,3,Onsite
1067,Sales,2020-08-21,28.350854139290405,62568.372370012345,4,Hybrid
1068,Sales,2022-10-13,2.628120893561104,107595.87850010263,4,Hybrid
1069,Sales,2022-02-01,10.972404730617608,44867.02211112378,3,Onsite
1070,Sales,2020-03-05,33.90275952693824,73840.20028643194,4,Remote
1071,Sales,2022-11-28,1.1169513797634691,56709.82833106041,4,Onsite
1072,Sales,2020-03-16,33.54139290407359,108711.53936088693,4,Hybrid
1073,Sales,2022-03-09,9.789750328515112,100527.206374808,5,Hybrid
1074,Sales,2021-02-14,22.536136662286463,53257.28550495937,4,Remote
1075,Sales,2022-08-08,4.7963206307490145,43017.00675633954,3,Hybrid
1076,Sales,2020-02-24,34.23127463863337,49643.56980263862,3,Remote
1077,Marketing,2020-06-19,30.420499342969777,78367.06403843853,5,Hybrid
1078,Marketing,2021-05-01,20.039421813403415,63611.523507961545,4,Hybrid
1079,Marketing,2020-03-11,33.70565045992115,111169.73696627769,3,Hybrid
1080,Marketing,2020-02-28,34.09986859395532,94000.38572789983,4,Hybrid
1081,Marketing,2021-12-11,12.680683311432325,92512.44950566508,4,Hybrid
1082,Marketing,2020-09-22,27.299605781865964,83541.20416792015,4,Hybrid
1083,Marketing,2020-01-28,35.11826544021025,94853.02922687479,3,Hybrid
1084,Marketing,2021-07-24,17.279894875164256,88675.02197103034,5,Hybrid
1085,Marketing,2021-11-18,13.436268068331144,97407.4881432755,3,Onsite
1086,Marketing,2022-02-21,10.315374507227332,76217.50850921459,4,Onsite
1087,Marketing,2020-02-15,34.526938239159,86627.9739192858,5,Remote
1088,Marketing,2020-08-29,28.088042049934295,97794.16640770042,5,Hybrid
1089,Marketing,2020-02-16,34.49408672798948,105302.25371193557,4,Remote
1090,Marketing,2021-09-02,15.965834428383705,111570.35846723276,4,Remote
1091,Marketing,2020-02-28,34.09986859395532,108834.25548553372,4,Hybrid
1092,Marketing,2022-10-27,2.1681997371879107,94981.17352988567,4,Remote
1093,Marketing,2022-10-02,2.9894875164257555,66846.54280883854,4,Hybrid
1094,Marketing,2021-11-01,13.994743758212877,79925.62803195367,3,Onsite
1095,Customer Success,2022-09-18,3.4494086727989486,88242.62066601784,4,Onsite
1096,Customer Success,2020-11-28,25.09855453350854,76887.93947489078,4,Hybrid
1097,Customer Success,2021-11-02,13.961892247043364,84360.3553815537,4,Hybrid
1098,Customer Success,2021-05-13,19.64520367936925,102637.9986381836,5,Hybrid
1099,Customer Success,2020-04-23,32.29303547963206,81501.74342676287,4,Remote
1100,Customer Success,2022-06-16,6.5374507227332455,88726.02949194063,3,Hybrid
1101,Customer Success,2021-12-29,12.089356110381077,71927.45231028993,4,Onsite
1102,Customer Success,2021-07-21,17.378449408672797,79781.24217305689,4,Hybrid
1103,Customer Success,2021-09-14,15.571616294349539,72624.62565476779,4,Hybrid
1104,Customer Success,2020-12-19,24.40867279894875,70898.13636885538,4,Remote
1105,Customer Success,2021-08-14,16.590013140604466,75364.55756514556,4,Onsite
1106,Customer Success,2020-02-12,34.62549277266754,58869.673171793,4,Hybrid
1107,Customer Success,2020-08-31,28.02233902759527,86856.57761946395,4,Hybrid
1108,Customer Success,2022-10-06,2.8580814717477003,78794.38722715626,3,Hybrid
1109,Customer Success,2022-10-17,2.4967148488830486,75621.88601172692,4,Hybrid
1110,Customer Success,2021-02-15,22.503285151116952,80936.6412564546,5,Remote
1111,Customer Success,2021-12-10,12.713534822601838,78575.45293948537,4,Hybrid
1112,Customer Success,2020-02-05,34.85545335085414,82373.86470461678,4,Remote
1113,Customer Success,2021-06-11,18.69250985545335,59820.247700801556,3,Onsite
1114,Customer Success,2021-07-19,17.444152431011826,101349.21441151388,4,Remote
1115,Customer Success,2021-11-08,13.764783180026281,53043.97953376461,5,Hybrid
1116,Customer Success,2021-09-09,15.735873850197109,56957.03848735261,4,Hybrid
1117,HR,2022-07-10,5.7490144546649145,86500.77380240883,5,Remote
1118,HR,2020-08-02,28.97503285151117,74420.21232848433,5,Hybrid
1119,HR,2022-08-20,4.402102496714849,105199.75202116648,4,Remote
1120,HR,2020-09-01,27.989487516425754,87547.83963499541,5,Onsite
1121,HR,2020-01-21,35.34822601839684,88192.22435497463,4,Onsite
1122,HR,2022-09-11,3.679369250985545,78961.6443767534,3,Onsite
1123,HR,2020-12-16,24.50722733245729,59670.14791193776,4,Onsite
1124,HR,2021-08-02,16.98423127463863,60645.287438965664,3,Hybrid
1125,Finance,2021-01-28,23.0946123521682,113656.15232847763,4,Onsite
1126,Finance,2022-03-10,9.756898817345597,86042.12082809456,4,Hybrid
1127,Finance,2021-05-04,19.940867279894874,132579.8668681634,5,Onsite
1128,Finance,2020-10-30,26.05124835742444,95302.0631139073,4,Hybrid
1129,Finance,2021-09-24,15.243101182654401,98096.26734116217,5,Hybrid
1130,Finance,2022-06-20,6.40604467805519,107482.05774064198,4,Hybrid
1131,Finance,2022-09-13,3.6136662286465175,92937.35850147565,5,Remote
1132,Finance,2022-06-02,6.9973718791064385,101402.05601345879,3,Remote
1133,Finance,2022-10-11,2.6938239159001314,103282.58407085101,4,Remote
1134,Finance,2022-10-21,2.3653088042049935,92647.33040172818,3,Remote
1135,Finance,2022-08-30,4.073587385019711,93361.44517867315,4,Hybrid
1136,Finance,2020-06-16,30.519053876478317,86782.9962399496,5,Hybrid
1137,Operations,2022-09-01,4.0078843626806835,71206.79717166572,5,Hybrid
1138,Operations,2020-02-08,34.75689881734559,67890.63307647116,3,Hybrid
1139,Operations,2021-02-26,22.141918528252297,67570.95011387,4,Remote
1140,Operations,2021-06-05,18.889618922470433,81475.08007465785,4,Remote
1141,Operations,2022-10-17,2.4967148488830486,74814.8452202213,4,Remote
1142,Operations,2021-12-18,12.450722733245728,81409.13530726518,3,Onsite
1143,Operations,2022-11-25,1.2155059132720105,71201.31280675027,4,Remote
1144,Operations,2020-12-14,24.57293035479632,99090.3683387781,4,Hybrid
1145,Operations,2022-09-16,3.515111695137976,88130.0826703855,4,Hybrid
1146,Operations,2021-06-25,18.232588699080157,100097.73595013215,4,Remote
1147,Operations,2020-09-18,27.43101182654402,94160.55247127032,4,Remote
1148,Operations,2021-08-05,16.88567674113009,90993.82203703593,5,Remote
1149,Operations,2022-07-30,5.091984231274639,67729.45893652827,3,Onsite
1150,Operations,2022-11-08,1.773981603153745,102924.96494819623,4,Remote
1151,Operations,2022-08-14,4.599211563731932,96899.51392002986,4,Hybrid
