date,department,hires,terminations,starting_headcount,ending_headcount,attrition_rate,growth_rate
2023-06-01,Marketing,0,0,18,18,0.0,0.0
2023-06-01,Customer Success,0,0,22,22,0.0,0.0
2023-06-01,HR,0,0,8,8,0.0,0.0
2023-06-01,Finance,0,0,12,12,0.0,0.0
2023-06-01,Operations,0,0,15,15,0.0,0.0
2023-07-01,Engineering,0,2,45,43,0.044444444444444446,0.0
2023-07-01,Sales,0,0,32,32,0.0,0.0
2023-07-01,Marketing,0,0,18,18,0.0,0.0
2023-07-01,Customer Success,0,0,22,22,0.0,0.0
2023-07-01,HR,0,0,8,8,0.0,0.0
2023-07-01,Finance,0,0,12,12,0.0,0.0
2023-07-01,Operations,0,0,15,15,0.0,0.0
2023-08-01,Engineering,0,1,45,44,0.022222222222222223,0.0
2023-08-01,Sales,0,0,32,32,0.0,0.0
2023-08-01,Marketing,0,0,18,18,0.0,0.0
2023-08-01,Customer Success,0,0,22,22,0.0,0.0
2023-08-01,HR,0,0,8,8,0.0,0.0
2023-08-01,Finance,0,0,12,12,0.0,0.0
2023-08-01,Operations,0,1,15,14,0.06666666666666667,0.0
2023-09-01,Engineering,0,0,45,45,0.0,0.0
2023-09-01,Sales,0,0,32,32,0.0,0.0
2023-09-01,Marketing,0,1,18,17,0.05555555555555555,0.0
2023-09-01,Customer Success,0,0,22,22,0.0,0.0
2023-09-01,HR,0,0,8,8,0.0,0.0
2023-09-01,Finance,0,0,12,12,0.0,0.0
2023-09-01,Operations,0,0,15,15,0.0,0.0
2023-10-01,Engineering,0,0,45,45,0.0,0.0
2023-10-01,Sales,0,0,32,32,0.0,0.0
2023-10-01,Marketing,0,1,18,17,0.05555555555555555,0.0
2023-10-01,Customer Success,0,0,22,22,0.0,0.0
2023-10-01,HR,0,0,8,8,0.0,0.0
2023-10-01,Finance,0,0,12,12,0.0,0.0
2023-10-01,Operations,0,0,15,15,0.0,0.0
2023-11-01,Engineering,0,0,45,45,0.0,0.0
2023-11-01,Sales,0,0,32,32,0.0,0.0
2023-11-01,Marketing,0,0,18,18,0.0,0.0
2023-11-01,Customer Success,0,0,22,22,0.0,0.0
2023-11-01,HR,1,0,8,9,0.0,0.125
2023-11-01,Finance,0,0,12,12,0.0,0.0
2023-11-01,Operations,0,0,15,15,0.0,0.0
2023-12-01,Engineering,0,0,45,45,0.0,0.0
2023-12-01,Sales,0,0,32,32,0.0,0.0
2023-12-01,Marketing,0,0,18,18,0.0,0.0
2023-12-01,Customer Success,0,0,22,22,0.0,0.0
2023-12-01,HR,0,0,8,8,0.0,0.0
2023-12-01,Finance,0,0,12,12,0.0,0.0
2023-12-01,Operations,0,0,15,15,0.0,0.0
2024-01-01,Engineering,0,0,45,45,0.0,0.0
2024-01-01,Sales,0,0,32,32,0.0,0.0
2024-01-01,Marketing,0,2,18,16,0.1111111111111111,0.0
2024-01-01,Customer Success,0,0,22,22,0.0,0.0
2024-01-01,HR,0,0,8,8,0.0,0.0
2024-01-01,Finance,0,0,12,12,0.0,0.0
2024-01-01,Operations,0,2,15,13,0.13333333333333333,0.0
2024-02-01,Engineering,0,0,45,45,0.0,0.0
2024-02-01,Sales,0,2,32,30,0.0625,0.0
2024-02-01,Marketing,0,1,18,17,0.05555555555555555,0.0
2024-02-01,Customer Success,1,0,22,23,0.0,0.045454545454545456
2024-02-01,HR,0,0,8,8,0.0,0.0
2024-02-01,Finance,0,0,12,12,0.0,0.0
2024-02-01,Operations,0,0,15,15,0.0,0.0
2024-03-01,Engineering,0,1,45,44,0.022222222222222223,0.0
2024-03-01,Sales,0,1,32,31,0.03125,0.0
2024-03-01,Marketing,0,0,18,18,0.0,0.0
2024-03-01,Customer Success,0,0,22,22,0.0,0.0
2024-03-01,HR,0,0,8,8,0.0,0.0
2024-03-01,Finance,0,0,12,12,0.0,0.0
2024-03-01,Operations,0,0,15,15,0.0,0.0
2024-04-01,Engineering,0,1,45,44,0.022222222222222223,0.0
2024-04-01,Sales,0,0,32,32,0.0,0.0
2024-04-01,Marketing,0,0,18,18,0.0,0.0
2024-04-01,Customer Success,0,0,22,22,0.0,0.0
2024-04-01,HR,0,1,8,7,0.125,0.0
2024-04-01,Finance,0,0,12,12,0.0,0.0
2024-04-01,Operations,0,0,15,15,0.0,0.0
2024-05-01,Engineering,0,1,45,44,0.022222222222222223,0.0
2024-05-01,Sales,0,0,32,32,0.0,0.0
2024-05-01,Marketing,0,1,18,17,0.05555555555555555,0.0
2024-05-01,Customer Success,0,0,22,22,0.0,0.0
2024-05-01,HR,0,0,8,8,0.0,0.0
2024-05-01,Finance,0,0,12,12,0.0,0.0
2024-05-01,Operations,0,0,15,15,0.0,0.0
2024-06-01,Engineering,0,1,45,44,0.022222222222222223,0.0
2024-06-01,Sales,0,0,32,32,0.0,0.0
2024-06-01,Marketing,0,2,18,16,0.1111111111111111,0.0
2024-06-01,Customer Success,0,0,22,22,0.0,0.0
2024-06-01,HR,0,0,8,8,0.0,0.0
2024-06-01,Finance,0,0,12,12,0.0,0.0
2024-06-01,Operations,0,0,15,15,0.0,0.0
